category,batch,key,tests,pairedCompleted,baselineStatus,baselineReason,fspecStatus,fspecReason,baselineTotalRuntimeMs,fspecTotalRuntimeMs,baselineProjectedCG,fspecProjectedCG
cmdi,115,cmdi-b0115-fcc51f09f6,BenchmarkTest02432;BenchmarkTest02433,False,missing,process-timeout,excluded,flowdroid-oom+termination-2,0,7004103,0,34019
cmdi,116,cmdi-b0116-ffe5331b78,BenchmarkTest02496;BenchmarkTest02510,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,474908,870115,38034,34215
cmdi,119,cmdi-b0119-2788b9a4e6,BenchmarkTest02515;BenchmarkTest02516,False,missing,process-timeout,excluded,flowdroid-oom+termination-2,0,5542955,0,34018
ldapi,2,ldapi-b0002-0dcefb4331,BenchmarkTest00139;BenchmarkTest00367,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,521602,688432,38484,34920
ldapi,4,ldapi-b0004-6a81732a6f,BenchmarkTest00694;BenchmarkTest00695,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,11593379,4937519,38190,34640
ldapi,5,ldapi-b0005-a8a83f0af3,BenchmarkTest00701;BenchmarkTest00860,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,3536702,6029213,38438,34887
ldapi,7,ldapi-b0007-c52551cac0,BenchmarkTest00948;BenchmarkTest00959,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,5103537,13655114,38232,34669
ldapi,9,ldapi-b0009-bf9d7f542e,BenchmarkTest01154;BenchmarkTest01241,False,excluded,flowdroid-oom+termination-2,completed,,878809,231564,38431,34867
ldapi,12,ldapi-b0012-3d2cbf82aa,BenchmarkTest01402;BenchmarkTest01490,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,499751,6816985,38201,34651
ldapi,13,ldapi-b0013-6018d92712,BenchmarkTest01491;BenchmarkTest01492,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,763639,946888,38441,34890
